Difficulty,Title,Frequency,Link,Topics
HARD,Text Justification,100.0,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
HARD,Palindrome Pairs,94.5,https://leetcode.com/problems/palindrome-pairs,"Array, Hash Table, String, Trie"
HARD,Maximum Profit in Job Scheduling,94.5,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Flatten 2D Vector,89.9,https://leetcode.com/problems/flatten-2d-vector,"Array, Two Pointers, Design, Iterator"
MEDIUM,Combination Sum,87.2,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
MEDIUM,Smallest Common Region,84.1,https://leetcode.com/problems/smallest-common-region,"Array, Hash Table, String, Tree, Depth-First Search, Breadth-First Search"
MEDIUM,Pour Water,82.9,https://leetcode.com/problems/pour-water,"Array, Simulation"
MEDIUM,Cheapest Flights Within K Stops,80.4,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path"
HARD,Trapping Rain Water,80.4,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,Alien Dictionary,80.4,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort"
HARD,Sliding Puzzle,79.0,https://leetcode.com/problems/sliding-puzzle,"Array, Dynamic Programming, Backtracking, Breadth-First Search, Memoization, Matrix"
MEDIUM,Simple Bank System,74.3,https://leetcode.com/problems/simple-bank-system,"Array, Hash Table, Design, Simulation"
HARD,Shortest Path to Get All Keys,74.3,https://leetcode.com/problems/shortest-path-to-get-all-keys,"Array, Bit Manipulation, Breadth-First Search, Matrix"
HARD,Minimum Window Substring,74.3,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
HARD,Employee Free Time,74.3,https://leetcode.com/problems/employee-free-time,"Array, Line Sweep, Sorting, Heap (Priority Queue)"
MEDIUM,Add Two Numbers,72.4,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
HARD,Word Search II,72.4,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
HARD,Maximum Candies You Can Get from Boxes,72.4,https://leetcode.com/problems/maximum-candies-you-can-get-from-boxes,"Array, Breadth-First Search, Graph"
MEDIUM,Basic Calculator II,72.4,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
EASY,Contains Duplicate II,72.4,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
EASY,Two Sum,72.4,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Intersection of Two Linked Lists,72.4,https://leetcode.com/problems/intersection-of-two-linked-lists,"Hash Table, Linked List, Two Pointers"
EASY,Contains Duplicate,70.4,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
MEDIUM,Mini Parser,70.4,https://leetcode.com/problems/mini-parser,"String, Stack, Depth-First Search"
HARD,Regular Expression Matching,70.4,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
EASY,Valid Parentheses,70.4,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Pyramid Transition Matrix,70.4,https://leetcode.com/problems/pyramid-transition-matrix,"Bit Manipulation, Depth-First Search, Breadth-First Search"
HARD,Merge k Sorted Lists,70.4,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,IP to CIDR,70.4,https://leetcode.com/problems/ip-to-cidr,"String, Bit Manipulation"
MEDIUM,Strings Differ by One Character,70.4,https://leetcode.com/problems/strings-differ-by-one-character,"Hash Table, String, Rolling Hash, Hash Function"
MEDIUM,Minimum Number of Vertices to Reach All Nodes,70.4,https://leetcode.com/problems/minimum-number-of-vertices-to-reach-all-nodes,Graph
MEDIUM,Robot Bounded In Circle,70.4,https://leetcode.com/problems/robot-bounded-in-circle,"Math, String, Simulation"
EASY,Add Strings,70.4,https://leetcode.com/problems/add-strings,"Math, String, Simulation"
MEDIUM,Minimize Rounding Error to Meet Target,70.4,https://leetcode.com/problems/minimize-rounding-error-to-meet-target,"Array, Math, String, Greedy, Sorting"
HARD,Minimum Number of Flips to Convert Binary Matrix to Zero Matrix,70.4,https://leetcode.com/problems/minimum-number-of-flips-to-convert-binary-matrix-to-zero-matrix,"Array, Hash Table, Bit Manipulation, Breadth-First Search, Matrix"
MEDIUM,Number of Ways to Build House of Cards,70.4,https://leetcode.com/problems/number-of-ways-to-build-house-of-cards,"Math, Dynamic Programming"
EASY,Happy Number,70.4,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
MEDIUM,Convert to Base -2,70.4,https://leetcode.com/problems/convert-to-base-2,Math
MEDIUM,Design File System,70.4,https://leetcode.com/problems/design-file-system,"Hash Table, String, Design, Trie"
EASY,Convert Sorted Array to Binary Search Tree,70.4,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree,"Array, Divide and Conquer, Tree, Binary Search Tree, Binary Tree"
